year,country_of_asylum,country_of_origin,Country of Asylum ISO,Country of Origin ISO,Population type,female_total,male_total,total_people,country_x,fatalities_sum_origin,fatalities_mean,fatalities_count,events_sum_origin,conflict_intensity_origin,country_asylum,fatalities_sum_asylum,fatalities_mean_asylum,fatalities_count_asylum,events_sum_asylum,conflict_intensity_asylum,country_y,rainfall_anomaly_mm,drought_index,num_camps_host,total_capacity_host,estimated_occupancy_host,utilization_rate,lag1_total,lag2_total,rolling_mean_3,rolling_std_3,growth_rate
2016,Ethiopia,Burundi,ETH,BDI,Refugees,27,30,57,Burundi,452.0,0.5426170468187275,833.0,1191.0,0.37919463087248323,Ethiopia,2591.0,6.660668380462725,389.0,1218.0,2.125512715340443,Burundi,-243.6,0.448,8.0,255640.0,262936.0,1.0285361111871727,0.0,0.0,57.0,0.0,0.0
2017,Ethiopia,Burundi,ETH,BDI,Refugees,28,30,58,Burundi,283.0,0.4421875,640.0,841.0,0.336104513064133,Ethiopia,1281.0,4.833962264150943,265.0,505.0,2.5316205533596836,Burundi,-89.8,0.892,9.0,284841.0,123011.0,0.4318569592967329,57.0,0.0,57.5,0.7071067811865476,0.017241379310344827
2018,Ethiopia,Burundi,ETH,BDI,Refugees,32,30,62,Burundi,328.0,0.45179063360881544,726.0,957.0,0.34237995824634654,Ethiopia,1584.0,3.450980392156863,459.0,876.0,1.8061573546180159,Burundi,37.4,0.526,6.0,117402.0,124268.0,1.0584738039062034,58.0,57.0,59.0,2.6457513110645907,0.06779661016949153
2019,Ethiopia,Burundi,ETH,BDI,Refugees,30,29,59,Burundi,303.0,0.48792270531400966,621.0,795.0,0.3806532663316583,Ethiopia,667.0,3.206730769230769,208.0,318.0,2.090909090909091,Burundi,67.1,0.036,6.0,212898.0,198216.0,0.9310330250494366,62.0,58.0,59.666666666666664,2.0816659994661326,-0.047619047619047616
2020,Ethiopia,Burundi,ETH,BDI,Refugees,30,29,59,Burundi,332.0,0.6600397614314115,503.0,652.0,0.5084226646248086,Ethiopia,4366.0,16.11070110701107,271.0,716.0,6.089260808926081,Burundi,291.6,0.0,3.0,101409.0,85299.0,0.8411300660684351,59.0,62.0,60.0,1.7320508075688779,0.0
2021,Ethiopia,Burundi,ETH,BDI,Refugees,34,21,55,Burundi,303.0,0.6544276457883369,463.0,606.0,0.49917627677100496,Ethiopia,8538.0,12.975683890577507,658.0,1904.0,4.481889763779527,Burundi,119.4,0.586,4.0,107636.0,100036.0,0.9293830188503953,59.0,59.0,57.666666666666664,2.3094010767585025,-0.06666666666666667
2022,Ethiopia,Burundi,ETH,BDI,Refugees,38,26,64,Burundi,266.0,0.6409638554216868,415.0,471.0,0.5635593220338984,Ethiopia,6457.0,10.852100840336135,595.0,1608.0,4.013051584835301,Burundi,-71.6,0.6,3.0,48279.0,24629.0,0.5101284175642088,55.0,59.0,59.333333333333336,4.509249752822893,0.16071428571428573
2023,Ethiopia,Burundi,ETH,BDI,Refugees,41,34,75,Burundi,195.0,0.6794425087108014,287.0,327.0,0.5945121951219512,Ethiopia,3813.0,5.7166416791604195,667.0,1789.0,2.130167597765363,Burundi,-47.6,0.197,8.0,180552.0,122471.0,0.6783105237797212,64.0,55.0,64.66666666666667,10.01665280087781,0.16923076923076924
2024,Ethiopia,Burundi,ETH,BDI,Refugees,42,35,77,Burundi,168.0,0.5508196721311476,305.0,378.0,0.44327176781002636,Ethiopia,7507.0,8.842167255594818,849.0,3015.0,2.489058355437666,Burundi,70.4,0.098,9.0,429768.0,221402.0,0.5151651235896493,75.0,64.0,72.0,6.999999999999994,0.02631578947368421
2016,Kenya,Burundi,KEN,BDI,Refugees,830,887,1717,Burundi,452.0,0.5426170468187275,833.0,1191.0,0.37919463087248323,Kenya,230.0,0.8487084870848709,271.0,295.0,0.777027027027027,Burundi,-243.6,0.448,8.0,73992.0,79393.0,1.0729798764748018,0.0,0.0,1717.0,0.0,0.0
